,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
G,Date,,Opp,W/L,FG%,3P%,FTA,TRB,AST,STL,BLK,TOV,FG%,3P%,FTA,TRB,AST,STL,BLK,TOV
55,2023/2/7,,OKC,L,0.576,0.452,26,41,27,8,3,20,0.521,0.5,20,37,32,12,2,12
56,2023/2/9,,MIL,L,0.472,0.389,21,43,23,2,2,12,0.455,0.255,18,51,24,5,7,10
57,2023/2/11,@,GSW,W,0.449,0.32,26,52,19,4,4,15,0.417,0.273,12,43,31,11,6,15
58,2023/2/13,@,POR,L,0.442,0.324,21,56,24,6,5,13,0.474,0.489,13,42,27,7,9,7
59,2023/2/15,,NOP,W,0.53,0.27,36,43,32,5,8,10,0.438,0.28,24,50,24,5,3,15
60,2023/2/23,,GSW,W,0.488,0.533,34,58,30,8,3,14,0.381,0.286,21,48,24,10,3,10
61,2023/2/26,@,DAL,W,0.433,0.176,28,56,25,9,4,10,0.419,0.408,14,48,21,5,5,16
62,2023/2/28,@,MEM,L,0.442,0.382,23,56,22,5,10,26,0.455,0.194,17,47,25,13,6,6
63,2023/3/1,@,OKC,W,0.475,0.457,39,41,22,8,8,13,0.484,0.275,24,42,29,8,4,11
64,2023/3/3,,MIN,L,0.414,0.323,24,41,23,8,2,15,0.472,0.412,16,46,29,10,6,13
65,2023/3/5,,GSW,W,0.442,0.333,22,46,29,3,3,7,0.396,0.346,18,42,27,2,6,12
66,2023/3/7,,MEM,W,0.456,0.25,29,57,27,4,2,13,0.387,0.243,29,45,18,6,6,7
67,2023/3/10,,TOR,W,0.563,0.433,19,35,28,8,8,20,0.5,0.357,13,37,29,14,3,13
68,2023/3/12,,NYK,L,0.483,0.333,17,37,24,6,2,11,0.477,0.297,21,46,18,8,3,11
69,2023/3/14,@,NOP,W,0.488,0.462,28,52,24,8,2,17,0.429,0.256,20,41,23,9,3,12
70,2023/3/15,@,HOU,L,0.378,0.25,37,36,21,7,3,8,0.528,0.276,19,51,22,5,3,17
71,2023/3/17,,DAL,L,0.512,0.25,31,42,23,8,3,12,0.506,0.471,19,35,27,8,4,13
72,2023/3/19,,ORL,W,0.462,0.406,32,52,25,2,9,15,0.402,0.263,17,44,24,8,3,8
73,2023/3/22,,PHO,W,0.557,0.471,46,36,27,7,2,13,0.467,0.387,20,39,23,7,6,17
74,2023/3/24,,OKC,W,0.462,0.353,28,53,20,9,4,11,0.435,0.389,19,45,21,6,5,10
75,2023/3/26,,CHI,L,0.507,0.361,28,38,24,5,4,18,0.54,0.452,13,42,32,8,2,9
76,2023/3/29,@,CHI,W,0.523,0.35,30,45,22,10,3,15,0.511,0.273,13,32,31,10,4,14
77,2023/3/31,@,MIN,W,0.5,0.409,30,53,28,10,5,16,0.432,0.333,19,39,25,10,4,16
78,2023/4/2,@,HOU,W,0.559,0.3,28,51,36,4,8,5,0.431,0.382,10,44,23,4,4,8
79,2023/4/4,@,UTA,W,0.5,0.353,35,44,27,6,7,11,0.522,0.455,31,41,29,4,3,12
80,2023/4/5,@,LAC,L,0.506,0.414,24,44,27,4,3,14,0.524,0.444,27,38,23,9,4,12
81,2023/4/7,,PHO,W,0.489,0.5,17,54,25,6,6,15,0.413,0.25,14,47,23,7,10,9
82,2023/4/9,,UTA,W,0.485,0.4,21,49,28,4,7,10,0.505,0.286,6,45,31,4,4,11
